enr_pathway,one_lower_level,top_level,enr_description,one_lower_level_description,top_level_description
R-HSA-1502540,R-HSA-9006936,R-HSA-162582,Signaling by Activin,Signaling by TGFB family members,Signal Transduction
R-HSA-201451,R-HSA-9006936,R-HSA-162582,Signaling by BMP,Signaling by TGFB family members,Signal Transduction
R-HSA-6802952,R-HSA-5663202,R-HSA-1643685,Signaling by BRAF and RAF1 fusions,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9674555,R-HSA-1280215,R-HSA-168256,Signaling by CSF3 (G-CSF),Cytokine Signaling in Immune system,Immune System
R-HSA-4839743,R-HSA-5663202,R-HSA-1643685,Signaling by CTNNB1 phospho-site mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-177929,R-HSA-9006934,R-HSA-162582,Signaling by EGFR,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1643713,R-HSA-5663202,R-HSA-1643685,Signaling by EGFR in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-5637812,R-HSA-5663202,R-HSA-1643685,Signaling by EGFRvIII in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-1227986,R-HSA-9006934,R-HSA-162582,Signaling by ERBB2,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9665348,R-HSA-5663202,R-HSA-1643685,Signaling by ERBB2 ECD mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9664565,R-HSA-5663202,R-HSA-1643685,Signaling by ERBB2 KD Mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9665686,R-HSA-5663202,R-HSA-1643685,Signaling by ERBB2 TMD/JMD mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-1227990,R-HSA-5663202,R-HSA-1643685,Signaling by ERBB2 in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-1236394,R-HSA-9006934,R-HSA-162582,Signaling by ERBB4,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9006335,R-HSA-9006335,R-HSA-162582,Signaling by Erythropoietin,Signaling by Erythropoietin,Signal Transduction
R-HSA-190236,R-HSA-9006934,R-HSA-162582,Signaling by FGFR,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1226099,R-HSA-5663202,R-HSA-1643685,Signaling by FGFR in disease,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-5654736,R-HSA-9006934,R-HSA-162582,Signaling by FGFR1,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1839120,R-HSA-5663202,R-HSA-1643685,Signaling by FGFR1 amplification mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-5655302,R-HSA-5663202,R-HSA-1643685,Signaling by FGFR1 in disease,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-5654738,R-HSA-9006934,R-HSA-162582,Signaling by FGFR2,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-8851708,R-HSA-5663202,R-HSA-1643685,Signaling by FGFR2 IIIa TM,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-2023837,R-HSA-5663202,R-HSA-1643685,Signaling by FGFR2 amplification mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-8853333,R-HSA-5663202,R-HSA-1643685,Signaling by FGFR2 fusions,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-5655253,R-HSA-5663202,R-HSA-1643685,Signaling by FGFR2 in disease,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-5654741,R-HSA-9006934,R-HSA-162582,Signaling by FGFR3,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-8853334,R-HSA-5663202,R-HSA-1643685,Signaling by FGFR3 fusions in cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-5655332,R-HSA-5663202,R-HSA-1643685,Signaling by FGFR3 in disease,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-8853338,R-HSA-5663202,R-HSA-1643685,Signaling by FGFR3 point mutants in cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-5654743,R-HSA-9006934,R-HSA-162582,Signaling by FGFR4,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5655291,R-HSA-5663202,R-HSA-1643685,Signaling by FGFR4 in disease,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9703648,R-HSA-5663202,R-HSA-1643685,Signaling by FLT3 ITD and TKD mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9703465,R-HSA-5663202,R-HSA-1643685,Signaling by FLT3 fusion proteins,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-372790,R-HSA-372790,R-HSA-162582,Signaling by GPCR,Signaling by GPCR,Signal Transduction
R-HSA-5339716,R-HSA-5663202,R-HSA-1643685,Signaling by GSK3beta mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-5358351,R-HSA-5358351,R-HSA-162582,Signaling by Hedgehog,Signaling by Hedgehog,Signal Transduction
R-HSA-2028269,R-HSA-2028269,R-HSA-162582,Signaling by Hippo,Signaling by Hippo,Signal Transduction
R-HSA-74752,R-HSA-9006934,R-HSA-162582,Signaling by Insulin receptor,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-449147,R-HSA-1280215,R-HSA-168256,Signaling by Interleukins,Cytokine Signaling in Immune system,Immune System
R-HSA-9669938,R-HSA-5663202,R-HSA-1643685,Signaling by KIT in disease,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-5339717,R-HSA-5663202,R-HSA-1643685,Signaling by LRP5 mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-2586552,R-HSA-2586552,R-HSA-162582,Signaling by Leptin,Signaling by Leptin,Signal Transduction
R-HSA-5637815,R-HSA-5663202,R-HSA-1643685,Signaling by Ligand-Responsive EGFR Variants in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9652169,R-HSA-5663202,R-HSA-1643685,Signaling by MAP2K mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9652817,R-HSA-5663202,R-HSA-1643685,Signaling by MAPK mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-6806834,R-HSA-9006934,R-HSA-162582,Signaling by MET,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9660537,R-HSA-5663202,R-HSA-1643685,Signaling by MRAS-complex mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-8852405,R-HSA-9006934,R-HSA-162582,Signaling by MST1,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1181150,R-HSA-1181150,R-HSA-1266738,Signaling by NODAL,Signaling by NODAL,Developmental Biology
R-HSA-157118,R-HSA-157118,R-HSA-162582,Signaling by NOTCH,Signaling by NOTCH,Signal Transduction
R-HSA-1980143,R-HSA-157118,R-HSA-162582,Signaling by NOTCH1,Signaling by NOTCH,Signal Transduction
R-HSA-2691230,R-HSA-5663202,R-HSA-1643685,Signaling by NOTCH1 HD Domain Mutants in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-2894858,R-HSA-5663202,R-HSA-1643685,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-2644602,R-HSA-5663202,R-HSA-1643685,Signaling by NOTCH1 PEST Domain Mutants in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-2644603,R-HSA-5663202,R-HSA-1643685,Signaling by NOTCH1 in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-2660825,R-HSA-5663202,R-HSA-1643685,Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-1980145,R-HSA-157118,R-HSA-162582,Signaling by NOTCH2,Signaling by NOTCH,Signal Transduction
R-HSA-9012852,R-HSA-157118,R-HSA-162582,Signaling by NOTCH3,Signaling by NOTCH,Signal Transduction
R-HSA-9013694,R-HSA-157118,R-HSA-162582,Signaling by NOTCH4,Signaling by NOTCH,Signal Transduction
R-HSA-187037,R-HSA-9006934,R-HSA-162582,Signaling by NTRK1 (TRKA),Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9006115,R-HSA-9006934,R-HSA-162582,Signaling by NTRK2 (TRKB),Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9034015,R-HSA-9006934,R-HSA-162582,Signaling by NTRK3 (TRKC),Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-166520,R-HSA-9006934,R-HSA-162582,Signaling by NTRKs,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9006927,R-HSA-9006927,R-HSA-162582,Signaling by Non-Receptor Tyrosine Kinases,Signaling by Non-Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9006931,R-HSA-9006931,R-HSA-162582,Signaling by Nuclear Receptors,Signaling by Nuclear Receptors,Signal Transduction
R-HSA-5638302,R-HSA-5663202,R-HSA-1643685,Signaling by Overexpressed Wild-Type EGFR in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-186797,R-HSA-9006934,R-HSA-162582,Signaling by PDGF,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9671555,R-HSA-5663202,R-HSA-1643685,Signaling by PDGFR in disease,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9673770,R-HSA-5663202,R-HSA-1643685,Signaling by PDGFRA extracellular domain mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9673767,R-HSA-5663202,R-HSA-1643685,"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-8848021,R-HSA-9006927,R-HSA-162582,Signaling by PTK6,Signaling by Non-Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9656223,R-HSA-5663202,R-HSA-1643685,Signaling by RAF1 mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-6802949,R-HSA-5663202,R-HSA-1643685,Signaling by RAS mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-5340588,R-HSA-5663202,R-HSA-1643685,Signaling by RNF43 mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-376176,R-HSA-9675108,R-HSA-1266738,Signaling by ROBO receptors,Nervous system development,Developmental Biology
R-HSA-9006934,R-HSA-9006934,R-HSA-162582,Signaling by Receptor Tyrosine Kinases,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5362517,R-HSA-9006931,R-HSA-162582,Signaling by Retinoic Acid,Signaling by Nuclear Receptors,Signal Transduction
R-HSA-194315,R-HSA-9716542,R-HSA-162582,Signaling by Rho GTPases,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signal Transduction
R-HSA-9716542,R-HSA-9716542,R-HSA-162582,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3","Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signal Transduction
R-HSA-1433557,R-HSA-9006934,R-HSA-162582,Signaling by SCF-KIT,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5339700,R-HSA-5663202,R-HSA-1643685,Signaling by TCF7L2 mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-170834,R-HSA-9006936,R-HSA-162582,Signaling by TGF-beta Receptor Complex,Signaling by TGFB family members,Signal Transduction
R-HSA-3304351,R-HSA-5663202,R-HSA-1643685,Signaling by TGF-beta Receptor Complex in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9006936,R-HSA-9006936,R-HSA-162582,Signaling by TGFB family members,Signaling by TGFB family members,Signal Transduction
R-HSA-2404192,R-HSA-9006934,R-HSA-162582,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-194138,R-HSA-9006934,R-HSA-162582,Signaling by VEGF,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-195721,R-HSA-195721,R-HSA-162582,Signaling by WNT,Signaling by WNT,Signal Transduction
R-HSA-4791275,R-HSA-5663202,R-HSA-1643685,Signaling by WNT in cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-1839122,R-HSA-5663202,R-HSA-1643685,Signaling by activated point mutants of FGFR1,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-1839130,R-HSA-5663202,R-HSA-1643685,Signaling by activated point mutants of FGFR3,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-1839117,R-HSA-5663202,R-HSA-1643685,Signaling by cytosolic FGFR1 fusion mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9673766,R-HSA-5663202,R-HSA-1643685,Signaling by cytosolic PDGFRA and PDGFRB fusion proteins,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9680187,R-HSA-5663202,R-HSA-1643685,Signaling by extracellular domain mutants of KIT,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-6802948,R-HSA-5663202,R-HSA-1643685,Signaling by high-kinase activity BRAF mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9669935,R-HSA-5663202,R-HSA-1643685,Signaling by juxtamembrane domain KIT mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9669933,R-HSA-5663202,R-HSA-1643685,Signaling by kinase domain mutants of KIT,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9673768,R-HSA-5663202,R-HSA-1643685,Signaling by membrane-tethered fusions of PDGFRA or PDGFRB,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-6802946,R-HSA-5663202,R-HSA-1643685,Signaling by moderate kinase activity BRAF mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9670439,R-HSA-5663202,R-HSA-1643685,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-8853336,R-HSA-5663202,R-HSA-1643685,Signaling by plasma membrane FGFR1 fusions,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-983705,R-HSA-1280218,R-HSA-168256,Signaling by the B Cell Receptor (BCR),Adaptive Immune System,Immune System
R-HSA-9649948,R-HSA-5663202,R-HSA-1643685,Signaling downstream of RAS mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-198765,R-HSA-9006934,R-HSA-162582,Signalling to ERK5,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-187687,R-HSA-9006934,R-HSA-162582,Signalling to ERKs,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-167044,R-HSA-9006934,R-HSA-162582,Signalling to RAS,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-198745,R-HSA-9006934,R-HSA-162582,Signalling to STAT3,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-187706,R-HSA-9006934,R-HSA-162582,Signalling to p38 via RIT and RIN,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-426486,R-HSA-211000,R-HSA-74160,Small interfering RNA (siRNA) biogenesis,Gene Silencing by RNA,Gene expression (Transcription)
R-HSA-445355,R-HSA-445355,R-HSA-397014,Smooth Muscle Contraction,Smooth Muscle Contraction,Muscle contraction
R-HSA-427652,R-HSA-425407,R-HSA-382551,Sodium-coupled phosphate cotransporters,SLC-mediated transmembrane transport,Transport of small molecules
R-HSA-433137,R-HSA-425407,R-HSA-382551,"Sodium-coupled sulphate, di- and tri-carboxylate transporters",SLC-mediated transmembrane transport,Transport of small molecules
R-HSA-425561,R-HSA-425407,R-HSA-382551,Sodium/Calcium exchangers,SLC-mediated transmembrane transport,Transport of small molecules
R-HSA-425986,R-HSA-425407,R-HSA-382551,Sodium/Proton exchangers,SLC-mediated transmembrane transport,Transport of small molecules
R-HSA-9669936,R-HSA-5663202,R-HSA-1643685,Sorafenib-resistant KIT mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9674404,R-HSA-5663202,R-HSA-1643685,Sorafenib-resistant PDGFR mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-1300642,R-HSA-1187000,R-HSA-1474165,Sperm Motility And Taxes,Fertilization,Reproduction
R-HSA-1660661,R-HSA-556833,R-HSA-1430728,Sphingolipid de novo biosynthesis,Metabolism of lipids,Metabolism
R-HSA-428157,R-HSA-556833,R-HSA-1430728,Sphingolipid metabolism,Metabolism of lipids,Metabolism
R-HSA-1295596,R-HSA-9006934,R-HSA-162582,Spry regulation of FGF signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1295596,R-HSA-9006934,R-HSA-162582,Spry regulation of FGF signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1295596,R-HSA-9006934,R-HSA-162582,Spry regulation of FGF signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1295596,R-HSA-9006934,R-HSA-162582,Spry regulation of FGF signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-69541,R-HSA-69620,R-HSA-1640170,Stabilization of p53,Cell Cycle Checkpoints,Cell Cycle
R-HSA-211994,R-HSA-211859,R-HSA-1430728,Sterols are 12-hydroxylated by CYP8B1,Biological oxidations,Metabolism
R-HSA-211736,R-HSA-109581,R-HSA-5357801,Stimulation of the cell death response by PAK-2p34,Apoptosis,Programmed Cell Death
R-HSA-2672351,R-HSA-983712,R-HSA-382551,Stimuli-sensing channels,Ion channel transport,Transport of small molecules
R-HSA-390522,R-HSA-390522,R-HSA-397014,Striated Muscle Contraction,Striated Muscle Contraction,Muscle contraction
R-HSA-1614517,R-HSA-71291,R-HSA-1430728,Sulfide oxidation to sulfate,Metabolism of amino acids and derivatives,Metabolism
R-HSA-1614635,R-HSA-71291,R-HSA-1430728,Sulfur amino acid metabolism,Metabolism of amino acids and derivatives,Metabolism
R-HSA-9669934,R-HSA-5663202,R-HSA-1643685,Sunitinib-resistant KIT mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9674401,R-HSA-5663202,R-HSA-1643685,Sunitinib-resistant PDGFR mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9635465,R-HSA-5663205,R-HSA-1643685,Suppression of apoptosis,Infectious disease,Disease
R-HSA-9636569,R-HSA-5663205,R-HSA-1643685,Suppression of autophagy,Infectious disease,Disease
R-HSA-9637687,R-HSA-5663205,R-HSA-1643685,Suppression of phagosomal maturation,Infectious disease,Disease
R-HSA-5683826,R-HSA-5683826,R-HSA-392499,Surfactant metabolism,Surfactant metabolism,Metabolism of proteins
R-HSA-69052,R-HSA-69278,R-HSA-1640170,Switching of origins to a post-replicative state,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-69052,R-HSA-69239,R-HSA-69306,Switching of origins to a post-replicative state,Synthesis of DNA,DNA Replication
R-HSA-8849932,R-HSA-6794362,R-HSA-112316,Synaptic adhesion-like molecules,Protein-protein interactions at synapses,Neuronal System
R-HSA-3000170,R-HSA-3000171,R-HSA-1474244,Syndecan interactions,Non-integrin membrane-ECM interactions,Extracellular matrix organization
R-HSA-174495,R-HSA-5663205,R-HSA-1643685,"Synthesis And Processing Of GAG, GAGPOL Polyproteins",Infectious disease,Disease
R-HSA-171286,R-HSA-5663205,R-HSA-1643685,Synthesis and processing of ENV and VPU,Infectious disease,Disease
R-HSA-2142816,R-HSA-556833,R-HSA-1430728,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),Metabolism of lipids,Metabolism
R-HSA-2142712,R-HSA-556833,R-HSA-1430728,Synthesis of 12-eicosatetraenoic acid derivatives,Metabolism of lipids,Metabolism
R-HSA-2142770,R-HSA-556833,R-HSA-1430728,Synthesis of 15-eicosatetraenoic acid derivatives,Metabolism of lipids,Metabolism
R-HSA-2142688,R-HSA-556833,R-HSA-1430728,Synthesis of 5-eicosatetraenoic acids,Metabolism of lipids,Metabolism
R-HSA-1483171,R-HSA-556833,R-HSA-1430728,Synthesis of BMP,Metabolism of lipids,Metabolism
R-HSA-1483076,R-HSA-556833,R-HSA-1430728,Synthesis of CL,Metabolism of lipids,Metabolism
R-HSA-69239,R-HSA-69278,R-HSA-1640170,Synthesis of DNA,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-69239,R-HSA-69239,R-HSA-69306,Synthesis of DNA,Synthesis of DNA,DNA Replication
R-HSA-446199,R-HSA-597592,R-HSA-392499,Synthesis of Dolichyl-phosphate,Post-translational protein modification,Metabolism of proteins
R-HSA-446205,R-HSA-597592,R-HSA-392499,Synthesis of GDP-mannose,Post-translational protein modification,Metabolism of proteins
R-HSA-2142696,R-HSA-556833,R-HSA-1430728,Synthesis of Hepoxilins (HX) and Trioxilins (TrX),Metabolism of lipids,Metabolism
R-HSA-1855183,R-HSA-1483249,R-HSA-1430728,"Synthesis of IP2, IP, and Ins in the cytosol",Inositol phosphate metabolism,Metabolism
R-HSA-1855204,R-HSA-1483249,R-HSA-1430728,Synthesis of IP3 and IP4 in the cytosol,Inositol phosphate metabolism,Metabolism
R-HSA-1855231,R-HSA-1483249,R-HSA-1430728,Synthesis of IPs in the ER lumen,Inositol phosphate metabolism,Metabolism
R-HSA-1855191,R-HSA-1483249,R-HSA-1430728,Synthesis of IPs in the nucleus,Inositol phosphate metabolism,Metabolism
R-HSA-77111,R-HSA-556833,R-HSA-1430728,Synthesis of Ketone Bodies,Metabolism of lipids,Metabolism
R-HSA-2142691,R-HSA-556833,R-HSA-1430728,Synthesis of Leukotrienes (LT) and Eoxins (EX),Metabolism of lipids,Metabolism
R-HSA-2142700,R-HSA-556833,R-HSA-1430728,Synthesis of Lipoxins (LX),Metabolism of lipids,Metabolism
R-HSA-1483166,R-HSA-556833,R-HSA-1430728,Synthesis of PA,Metabolism of lipids,Metabolism
R-HSA-1483191,R-HSA-556833,R-HSA-1430728,Synthesis of PC,Metabolism of lipids,Metabolism
R-HSA-1483213,R-HSA-556833,R-HSA-1430728,Synthesis of PE,Metabolism of lipids,Metabolism
R-HSA-1483148,R-HSA-556833,R-HSA-1430728,Synthesis of PG,Metabolism of lipids,Metabolism
R-HSA-1483226,R-HSA-556833,R-HSA-1430728,Synthesis of PI,Metabolism of lipids,Metabolism
R-HSA-1483248,R-HSA-556833,R-HSA-1430728,Synthesis of PIPs at the ER membrane,Metabolism of lipids,Metabolism
R-HSA-1660514,R-HSA-556833,R-HSA-1430728,Synthesis of PIPs at the Golgi membrane,Metabolism of lipids,Metabolism
R-HSA-1660516,R-HSA-556833,R-HSA-1430728,Synthesis of PIPs at the early endosome membrane,Metabolism of lipids,Metabolism
R-HSA-1660517,R-HSA-556833,R-HSA-1430728,Synthesis of PIPs at the late endosome membrane,Metabolism of lipids,Metabolism
R-HSA-1660499,R-HSA-556833,R-HSA-1430728,Synthesis of PIPs at the plasma membrane,Metabolism of lipids,Metabolism
R-HSA-8847453,R-HSA-556833,R-HSA-1430728,Synthesis of PIPs in the nucleus,Metabolism of lipids,Metabolism
R-HSA-1483101,R-HSA-556833,R-HSA-1430728,Synthesis of PS,Metabolism of lipids,Metabolism
R-HSA-2162123,R-HSA-556833,R-HSA-1430728,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),Metabolism of lipids,Metabolism
R-HSA-446210,R-HSA-597592,R-HSA-392499,Synthesis of UDP-N-acetyl-glucosamine,Post-translational protein modification,Metabolism of proteins
R-HSA-8866652,R-HSA-597592,R-HSA-392499,Synthesis of active ubiquitin: roles of E1 and E2 enzymes,Post-translational protein modification,Metabolism of proteins
R-HSA-192105,R-HSA-556833,R-HSA-1430728,Synthesis of bile acids and bile salts,Metabolism of lipids,Metabolism
R-HSA-193775,R-HSA-556833,R-HSA-1430728,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Metabolism of lipids,Metabolism
R-HSA-193807,R-HSA-556833,R-HSA-1430728,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Metabolism of lipids,Metabolism
R-HSA-193368,R-HSA-556833,R-HSA-1430728,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Metabolism of lipids,Metabolism
R-HSA-5358493,R-HSA-597592,R-HSA-392499,Synthesis of diphthamide-EEF2,Post-translational protein modification,Metabolism of proteins
R-HSA-162699,R-HSA-597592,R-HSA-392499,Synthesis of dolichyl-phosphate mannose,Post-translational protein modification,Metabolism of proteins
R-HSA-162699,R-HSA-597592,R-HSA-392499,Synthesis of dolichyl-phosphate mannose,Post-translational protein modification,Metabolism of proteins
R-HSA-480985,R-HSA-597592,R-HSA-392499,Synthesis of dolichyl-phosphate-glucose,Post-translational protein modification,Metabolism of proteins
R-HSA-2142670,R-HSA-556833,R-HSA-1430728,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),Metabolism of lipids,Metabolism
R-HSA-162710,R-HSA-597592,R-HSA-392499,Synthesis of glycosylphosphatidylinositol (GPI),Post-translational protein modification,Metabolism of proteins
R-HSA-1855167,R-HSA-1483249,R-HSA-1430728,Synthesis of pyrophosphates in the cytosol,Inositol phosphate metabolism,Metabolism
R-HSA-446219,R-HSA-597592,R-HSA-392499,Synthesis of substrates in N-glycan biosythesis,Post-translational protein modification,Metabolism of proteins
R-HSA-75876,R-HSA-556833,R-HSA-1430728,Synthesis of very long-chain fatty acyl-CoAs,Metabolism of lipids,Metabolism
R-HSA-6782861,R-HSA-72306,R-HSA-8953854,Synthesis of wybutosine at G37 of tRNA(Phe),tRNA processing,Metabolism of RNA
R-HSA-422085,R-HSA-2980736,R-HSA-392499,"Synthesis, secretion, and deacylation of Ghrelin",Peptide hormone metabolism,Metabolism of proteins
R-HSA-381771,R-HSA-2980736,R-HSA-392499,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",Peptide hormone metabolism,Metabolism of proteins
R-HSA-400511,R-HSA-2980736,R-HSA-392499,"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",Peptide hormone metabolism,Metabolism of proteins
R-HSA-5358752,R-HSA-5663202,R-HSA-1643685,T41 mutants of beta-catenin aren't phosphorylated,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-445989,R-HSA-168249,R-HSA-168256,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,Innate Immune System,Immune System
R-HSA-445989,R-HSA-168249,R-HSA-168256,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,Innate Immune System,Immune System
R-HSA-445989,R-HSA-168249,R-HSA-168256,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,Innate Immune System,Immune System
R-HSA-445989,R-HSA-168249,R-HSA-168256,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,Innate Immune System,Immune System
R-HSA-445989,R-HSA-1280215,R-HSA-168256,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,Cytokine Signaling in Immune system,Immune System
R-HSA-445989,R-HSA-168249,R-HSA-168256,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,Innate Immune System,Immune System
R-HSA-445989,R-HSA-168249,R-HSA-168256,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,Innate Immune System,Immune System
R-HSA-445989,R-HSA-168249,R-HSA-168256,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,Innate Immune System,Immune System
